"TIGER CALCIUM LTD",7809555004,264.52,264.52,0,0,0
"HARI INVESTMENT LTD",7802394031,258.74,187.8,70.94,0,0
"NANAKSAR FARMS",7802781377,224.04,83.64,140.4,0,0
"ZEPELIN TRANSPORT LTD",7809151037,221.43,221.43,0,0,0
"KAHLON ROADWYS LTD",5873770007,205.69,205.69,0,0,0
"1ST CHOICE CONSTRUCTION",7802679321,205.66,205.66,0,0,0
"AIKAM TRUCKING LTD",7808937575,199.68,0,118.07,0,81.61
"2116263 AB INC",7802985507,198.03,198.03,0,0,0
"AGAMDEEP TRANSPORT LTD",2048998420,194.74,112.91,81.84,0,0
"JABS TRUCKING LTD",7802428090,190.33,190.33,0,0,0
"HAZCAN LOGISTICS INC",7809941343,181.1,181.1,0,0,0
"NORTH EDMONTON TRANSPORT",7804714442,175.87,175.87,0,0,0
"HS SIDHU Trucking",7808933267,174.48,174.48,0,0,0
"ASC TRUCKING",7802652799,167.35,110.68,0,56.67,0
"DEOL CARRIER INC",7802385060,161.73,81.06,80.67,0,0
"GURJAP TRANSPORT LTD",7802450607,159.25,159.25,0,0,0
"1130399 AB LTD",7802392616,152.25,152.25,0,0,0
"BION TRANSPORT LTD",3065799151,150.41,0,0,150.41,0
"J S KHAIRA TRUCKING LTD",7809828473,135.81,135.81,0,0,0
"QUICK TRANSPORT",7803181960,133.57,133.57,0,0,0
"YONAS TRUCKING",7809327219,132.14,132.14,0,0,0
"RANZEE TRUCKING LTD",7808853837,128.08,128.08,0,0,0
"ANAND TRUCKING",,120.67,0,0,0,120.67
"1350283 AB LTD",7802642209,119.75,119.75,0,0,0
"CITY EQUIPMENT RECOVERY INC.",7802206330,119.05,119.05,0,0,0
"JPG TRUCKING LTD",7802634343,97.85,97.85,0,0,0
"RISING STAR TRUCKING LTD/2043971",7808932100,95.67,95.67,0,0,0
"KGPS LOGISTIC INC",6472876264,92.9,92.9,0,0,0
"AUTO GATES TRUCKING LTD",,89.24,0,0,0,89.24
"2195399 AB LTD",5877107689,88.71,88.71,0,0,0
"1143201 AB LTD",7806991596,81.88,0,0,81.88,0
"NANKANA TRANSPORT LTD",7802455631,81.84,0,81.84,0,0
"ETHIO CANATRUCKING INC",4039704852,80.09,80.09,0,0,0
"6581510 CANADA INC",7802201150,77.2,77.2,0,0,0
"2511029 AB LTD.",7802786434,73.8,73.8,0,0,0
"AB CONSTRUCTION GROUPS",7802041000,67.84,67.84,0,0,0
"NAB TRUCKING LTD",7807002641,63.71,63.71,0,0,0
"BASSI PATHANAN TRANSPORT",4317778698,59.82,59.82,0,0,0
"TARLOK TRUCKING LTD",7802375661,55.81,55.81,0,0,0
"EMPIRE TRANSPORT SERVICE LTD (IN",7802574344,46.71,0,46.71,0,0
"ALBERTA DIESEL SHOP",7802661699,43.39,43.39,0,0,0
"1574234 AB LTD",7802677990,42.95,42.95,0,0,0
"SIDHU HOLDING LTD",7809405993,41.51,0,41.51,0,0
"Reliable Transporation Ltd",7802463304,32,32,0,0,0
"LS TRUCKING LTD",5877096668,31.94,31.94,0,0,0
"DGN TRUCK AND TRAILER REAPIR LTD",7808634113,27.26,27.26,0,0,0
"2097478 AB LTD",7807779389,26.24,0,26.24,0,0
"SIDHU ROAD LINK (1831366 AB LTD)",7802422145,20.03,20.03,0,0,0
"TEJBIR TRANSPORT LTD",7802630027,19.89,0,19.89,0,0
"S & K DHALIWAL TRANSPORT",,11,0,0,0,11
"1313 TRUCKING LTD",7802364656,8.91,8.91,0,0,0
"JOJO TRUCKING LTD",7807822434,7.64,0,0,7.64,0
"AKAL TRUCKING LTD",7805047116,5.78,5.78,0,0,0
"SUPERIOR FORCE TRANSPORT INC",9083053364,3.14,0,3.14,0,0
"ABS TRUCK AND TRAILER PARTS",7806998087,1.31,0,0,1.31,0
"2438093 AB LTD",7802325859,1.01,0,19.43,44.06,-62.47
"HD OILERS LTD",3067443447,0.68,0,0,0,0.68
"JJOVALLES TRUCKING LTD",7802286205,0.38,0,0,0,0.38
"1827830 AB LTD",7802662500,-0.36,0,0,0,-0.36
"EAST POINT TRUCKLINES",7809480505,-0.47,0,-0.47,0,0
